steel_name,model,edge_retention,toughness,raw_response
1.2442,deepseek/deepseek-chat-v3.1,6.0,5.0,"{""edge_retention"": 6, ""toughness"": 5}"
1.2519,deepseek/deepseek-chat-v3.1,6.0,5.0,"{""edge_retention"": 6, ""toughness"": 5}"
1.2562,deepseek/deepseek-chat-v3.1,4.0,6.0,"{""edge_retention"": 4, ""toughness"": 6}"
1095,deepseek/deepseek-chat-v3.1,5.0,4.0,"{""edge_retention"": 5, ""toughness"": 4}"
14C28N,deepseek/deepseek-chat-v3.1,7.0,6.0,"{""edge_retention"": 7, ""toughness"": 6}"
26C3,deepseek/deepseek-chat-v3.1,4.0,7.0,"{""edge_retention"": 4, ""toughness"": 7}"
440C,deepseek/deepseek-chat-v3.1,7.0,4.0,"{""edge_retention"": 7, ""toughness"": 4}"
52100,deepseek/deepseek-chat-v3.1,6.0,7.0,"{""edge_retention"": 6, ""toughness"": 7}"
8670,deepseek/deepseek-chat-v3.1,4.5,7.5,"{""edge_retention"": 4.5, ""toughness"": 7.5}"
A2,deepseek/deepseek-chat-v3.1,7.0,4.0,"{""edge_retention"": 7, ""toughness"": 4}"
A8 mod,deepseek/deepseek-chat-v3.1,8.0,6.0,"{""edge_retention"": 8, ""toughness"": 6}"
AEB-L,deepseek/deepseek-chat-v3.1,6.0,7.0,"{""edge_retention"": 6, ""toughness"": 7}"
Blue Super,deepseek/deepseek-chat-v3.1,9.0,4.0,"{""edge_retention"": 9, ""toughness"": 4}"
CPM 10V,deepseek/deepseek-chat-v3.1,9.0,3.0,"{""edge_retention"": 9, ""toughness"": 3}"
CPM 154,deepseek/deepseek-chat-v3.1,8.0,7.0,"{""edge_retention"": 8, ""toughness"": 7}"
CPM 15V,deepseek/deepseek-chat-v3.1,10.0,2.0,"{""edge_retention"": 10, ""toughness"": 2}"
CPM 1V,deepseek/deepseek-chat-v3.1,8.0,7.0,"{""edge_retention"": 8, ""toughness"": 7}"
CPM 3V,deepseek/deepseek-chat-v3.1,8.0,7.0,"{""edge_retention"": 8, ""toughness"": 7}"
CPM 4V,deepseek/deepseek-chat-v3.1,9.0,5.0,"{""edge_retention"": 9, ""toughness"": 5}"
CPM 9V,deepseek/deepseek-chat-v3.1,9.0,4.0,"{""edge_retention"": 9, ""toughness"": 4}"
CPM CruWear,deepseek/deepseek-chat-v3.1,8.0,7.0,"{""edge_retention"": 8, ""toughness"": 7}"
