steel_name,model,edge_retention,toughness,raw_response
1.2442,openai/gpt-4o-mini,8.0,5.0,"{""edge_retention"":8,""toughness"":5}"
1.2519,openai/gpt-4o-mini,8.0,5.0,"{""edge_retention"":8,""toughness"":5}"
1.2562,openai/gpt-4o-mini,8.0,5.0,"{""edge_retention"":8,""toughness"":5}"
1095,openai/gpt-4o-mini,8.0,5.0,"{""edge_retention"":8,""toughness"":5}"
14C28N,openai/gpt-4o-mini,8.0,6.0,"{""edge_retention"":8,""toughness"":6}"
26C3,openai/gpt-4o-mini,8.0,5.0,"{""edge_retention"":8,""toughness"":5}"
440C,openai/gpt-4o-mini,8.0,6.0,"{""edge_retention"":8,""toughness"":6}"
52100,openai/gpt-4o-mini,8.0,7.0,"{""edge_retention"":8,""toughness"":7}"
8670,openai/gpt-4o-mini,7.0,8.0,"{""edge_retention"":7,""toughness"":8}"
A2,openai/gpt-4o-mini,8.0,7.0,"{""edge_retention"":8,""toughness"":7}"
A8 mod,openai/gpt-4o-mini,8.0,6.0,"{""edge_retention"":8,""toughness"":6}"
AEB-L,openai/gpt-4o-mini,8.0,6.0,"{""edge_retention"":8,""toughness"":6}"
Blue Super,openai/gpt-4o-mini,8.0,6.0,"{""edge_retention"":8,""toughness"":6}"
CPM 10V,openai/gpt-4o-mini,10.0,6.0,"{""edge_retention"":10,""toughness"":6}"
CPM 154,openai/gpt-4o-mini,8.0,7.0,"{""edge_retention"":8,""toughness"":7}"
CPM 15V,openai/gpt-4o-mini,10.0,6.0,"{""edge_retention"":10,""toughness"":6}"
CPM 1V,openai/gpt-4o-mini,8.0,7.0,"{""edge_retention"":8,""toughness"":7}"
CPM 3V,openai/gpt-4o-mini,8.0,9.0,"{""edge_retention"":8,""toughness"":9}"
CPM 4V,openai/gpt-4o-mini,9.0,7.0,"{""edge_retention"":9,""toughness"":7}"
CPM 9V,openai/gpt-4o-mini,10.0,6.0,"{""edge_retention"":10,""toughness"":6}"
CPM CruWear,openai/gpt-4o-mini,8.0,6.0,"{""edge_retention"":8,""toughness"":6}"
CPM M4,openai/gpt-4o-mini,10.0,7.0,"{""edge_retention"":10,""toughness"":7}"
CPM MagnaCut,openai/gpt-4o-mini,10.0,8.0,"{""edge_retention"":10,""toughness"":8}"
CPM Rex 121,openai/gpt-4o-mini,10.0,6.0,"{""edge_retention"":10,""toughness"":6}"
CPM S110V,openai/gpt-4o-mini,10.0,6.0,"{""edge_retention"":10,""toughness"":6}"
CPM S125V,openai/gpt-4o-mini,10.0,6.0,"{""edge_retention"":10,""toughness"":6}"
CPM S30V,openai/gpt-4o-mini,10.0,7.0,"{""edge_retention"":10,""toughness"":7}"
CPM S35VN,openai/gpt-4o-mini,9.0,7.0,"{""edge_retention"":9,""toughness"":7}"
CPM S45VN,openai/gpt-4o-mini,10.0,7.0,"{""edge_retention"":10,""toughness"":7}"
CPM S60V,openai/gpt-4o-mini,9.0,6.0,"{""edge_retention"":9,""toughness"":6}"
CPM S90V,openai/gpt-4o-mini,10.0,6.0,"{""edge_retention"":10,""toughness"":6}"
CTS-BD1N,openai/gpt-4o-mini,8.0,6.0,"{""edge_retention"":8,""toughness"":6}"
Caldie,openai/gpt-4o-mini,8.0,6.0,"{""edge_retention"":8,""toughness"":6}"
CruForgeV,openai/gpt-4o-mini,8.0,7.0,"{""edge_retention"":8,""toughness"":7}"
D2,openai/gpt-4o-mini,8.0,5.0,"{""edge_retention"":8,""toughness"":5}"
Elmax,openai/gpt-4o-mini,10.0,7.0,"{""edge_retention"":10,""toughness"":7}"
K390,openai/gpt-4o-mini,10.0,6.0,"{""edge_retention"":10,""toughness"":6}"
LC200N,openai/gpt-4o-mini,8.0,7.0,"{""edge_retention"":8,""toughness"":7}"
M2,openai/gpt-4o-mini,8.0,5.0,"{""edge_retention"":8,""toughness"":5}"
M390,openai/gpt-4o-mini,10.0,7.0,"{""edge_retention"":10,""toughness"":7}"
Niolox,openai/gpt-4o-mini,8.0,6.0,"{""edge_retention"":8,""toughness"":6}"
Nitro-V,openai/gpt-4o-mini,8.0,7.0,"{""edge_retention"":8,""toughness"":7}"
O1,openai/gpt-4o-mini,8.0,6.0,"{""edge_retention"":8,""toughness"":6}"
SG2,openai/gpt-4o-mini,8.0,6.0,"{""edge_retention"":8,""toughness"":6}"
V-Toku 2,openai/gpt-4o-mini,8.0,6.0,"{""edge_retention"":8,""toughness"":6}"
VG-10,openai/gpt-4o-mini,8.0,6.0,"{""edge_retention"":8,""toughness"":6}"
Vanadis 8,openai/gpt-4o-mini,10.0,6.0,"{""edge_retention"":10,""toughness"":6}"
Vanax,openai/gpt-4o-mini,8.0,7.0,"{""edge_retention"":8,""toughness"":7}"
Z-Max,openai/gpt-4o-mini,10.0,6.0,"{""edge_retention"":10,""toughness"":6}"
Z-Tuff,openai/gpt-4o-mini,8.0,7.0,"{""edge_retention"":8,""toughness"":7}"
ZDP-189,openai/gpt-4o-mini,10.0,6.0,"{""edge_retention"":10,""toughness"":6}"
